��textbox24,textbox19,textbox5,DISTANCE_KONTROLA_0_1,DISTANCE_KONTROLA_NOT_0_1,OBISK_2,textbox4,textbox15,textbox18,textbox23,textbox25,OBISK_1,NAPRAVA,IME_VOZNIKA,TIME_RECEIVED_MIN,TIME_RECEIVED_MAX,StopTime,NASLOV,DISTANCE_KONTROLA_0,DISTANCE_KONTROLA_NOT_0,OBISK
,,,,,,,,,,,,,,,,,,,,
KA 577-GK,Skupaj vozilo:,3:22:18,0,695.567,10,Dan,16.10.2018,1:32:10,0,159.329,3,KA 577-GK,,16.10.2018 20:18:30,16.10.2018 20:18:30,0:00:00,"HRVATSKA: KARLOVAC, ANTUNA GUSTAVA MATO`A",0,0,1
,,,,,,,,,,,,,,,,,,,,
KA 577-GK,Skupaj vozilo:,3:22:18,0,695.567,10,Dan,16.10.2018,1:32:10,0,159.329,3,KA 577-GK,,16.10.2018 20:18:30,16.10.2018 20:18:30,,RUDMAN COMMERCE: Karlovac GM,,,
,,,,,,,,,,,,,,,,,,,,
KA 577-GK,Skupaj vozilo:,3:22:18,0,695.567,10,Dan,16.10.2018,1:32:10,0,159.329,3,KA 577-GK,,16.10.2018 20:18:30,16.10.2018 20:18:30,,RUDMAN COMMERCE: Karlovac (GM),,,
,,,,,,,,,,,,,,,,,,,,
KA 577-GK,Skupaj vozilo:,3:22:18,0,695.567,10,Dan,16.10.2018,1:32:10,0,159.329,3,KA 577-GK,,16.10.2018 20:18:30,16.10.2018 20:21:48,0:03:18,"HRVATSKA: KARLOVAC, MARINA DR}IA",0,481,1
,,,,,,,,,,,,,,,,,,,,
KA 577-GK,Skupaj vozilo:,3:22:18,0,695.567,10,Dan,16.10.2018,1:32:10,0,159.329,3,KA 577-GK,,16.10.2018 20:18:30,16.10.2018 20:21:48,,RUDMAN COMMERCE: Karlovac (GM),,,
,,,,,,,,,,,,,,,,,,,,
KA 577-GK,Skupaj vozilo:,3:22:18,0,695.567,10,Dan,16.10.2018,1:32:10,0,159.329,3,KA 577-GK,,16.10.2018 20:18:30,16.10.2018 20:21:48,,RUDMAN COMMERCE: Karlovac GM,,,
,,,,,,,,,,,,,,,,,,,,
KA 577-GK,Skupaj vozilo:,3:22:18,0,695.567,10,Dan,16.10.2018,1:32:10,0,159.329,3,KA 577-GK,,16.10.2018 20:24:57,16.10.2018 20:25:29,0:00:32,"HRVATSKA: KARLOVAC, PRILAZ VEESLAVA HOLJEVCA",0,2.941,
,,,,,,,,,,,,,,,,,,,,
KA 577-GK,Skupaj vozilo:,3:22:18,0,695.567,10,Dan,16.10.2018,1:32:10,0,159.329,3,KA 577-GK,,16.10.2018 20:44:44,16.10.2018 20:48:08,0:03:24,"HRVATSKA: JASTREBARSKO, ",0,19.946,
,,,,,,,,,,,,,,,,,,,,
KA 577-GK,Skupaj vozilo:,3:22:18,0,695.567,10,Dan,16.10.2018,1:32:10,0,159.329,3,KA 577-GK,,16.10.2018 21:38:20,16.10.2018 23:01:08,1:22:48,"HRVATSKA: RUGVICA, DUGOSELSKA ULICA",0,56.595,1
,,,,,,,,,,,,,,,,,,,,
KA 577-GK,Skupaj vozilo:,3:22:18,0,695.567,10,Dan,16.10.2018,1:32:10,0,159.329,3,KA 577-GK,,16.10.2018 21:38:20,16.10.2018 23:01:08,,"Rugvica, Skladia",,,
