��textbox24,textbox19,textbox5,DISTANCE_KONTROLA_0_1,DISTANCE_KONTROLA_NOT_0_1,OBISK_2,textbox4,textbox15,textbox18,textbox23,textbox25,OBISK_1,NAPRAVA,IME_VOZNIKA,TIME_RECEIVED_MIN,TIME_RECEIVED_MAX,StopTime,NASLOV,DISTANCE_KONTROLA_0,DISTANCE_KONTROLA_NOT_0,OBISK
,,,,,,,,,,,,,,,,,,,,
KA 720-HG,Skupaj vozilo:,3:57:23,0,579.775,11,Dan,16.10.2018,1:55:42,0,126.314,4,KA 720-HG,,16.10.2018 20:00:08,16.10.2018 20:00:08,0:00:00,"HRVATSKA: KARLOVAC, ",0,0,1
,,,,,,,,,,,,,,,,,,,,
KA 720-HG,Skupaj vozilo:,3:57:23,0,579.775,11,Dan,16.10.2018,1:55:42,0,126.314,4,KA 720-HG,,16.10.2018 20:00:08,16.10.2018 20:00:08,,RUDMAN COMMERCE: Karlovac (GM),,,
,,,,,,,,,,,,,,,,,,,,
KA 720-HG,Skupaj vozilo:,3:57:23,0,579.775,11,Dan,16.10.2018,1:55:42,0,126.314,4,KA 720-HG,,16.10.2018 20:00:08,16.10.2018 20:00:08,,RUDMAN COMMERCE: Karlovac GM,,,
,,,,,,,,,,,,,,,,,,,,
KA 720-HG,Skupaj vozilo:,3:57:23,0,579.775,11,Dan,16.10.2018,1:55:42,0,126.314,4,KA 720-HG,,16.10.2018 20:01:21,16.10.2018 20:01:57,0:00:36,"HRVATSKA: KARLOVAC, IVANA ME`TROVIA",0,275,1
,,,,,,,,,,,,,,,,,,,,
KA 720-HG,Skupaj vozilo:,3:57:23,0,579.775,11,Dan,16.10.2018,1:55:42,0,126.314,4,KA 720-HG,,16.10.2018 20:01:21,16.10.2018 20:01:57,,RUDMAN COMMERCE: Karlovac (GM),,,
,,,,,,,,,,,,,,,,,,,,
KA 720-HG,Skupaj vozilo:,3:57:23,0,579.775,11,Dan,16.10.2018,1:55:42,0,126.314,4,KA 720-HG,,16.10.2018 20:01:21,16.10.2018 20:01:57,,RUDMAN COMMERCE: Karlovac GM,,,
,,,,,,,,,,,,,,,,,,,,
KA 720-HG,Skupaj vozilo:,3:57:23,0,579.775,11,Dan,16.10.2018,1:55:42,0,126.314,4,KA 720-HG,,16.10.2018 20:07:25,16.10.2018 20:22:10,0:14:45,"HRVATSKA: KARLOVAC, ",0,4.248,1
,,,,,,,,,,,,,,,,,,,,
KA 720-HG,Skupaj vozilo:,3:57:23,0,579.775,11,Dan,16.10.2018,1:55:42,0,126.314,4,KA 720-HG,,16.10.2018 20:07:25,16.10.2018 20:22:10,,ZAK: karlovac: (RN),,,
,,,,,,,,,,,,,,,,,,,,
KA 720-HG,Skupaj vozilo:,3:57:23,0,579.775,11,Dan,16.10.2018,1:55:42,0,126.314,4,KA 720-HG,,16.10.2018 20:07:25,16.10.2018 20:22:10,,ZAK: karlovac: RN,,,
,,,,,,,,,,,,,,,,,,,,
KA 720-HG,Skupaj vozilo:,3:57:23,0,579.775,11,Dan,16.10.2018,1:55:42,0,126.314,4,KA 720-HG,,16.10.2018 20:07:25,16.10.2018 20:22:10,,"AUTO HRVATSKA AUTOMOBILI d.o.o., Karlovac, Fiat",,,
,,,,,,,,,,,,,,,,,,,,
KA 720-HG,Skupaj vozilo:,3:57:23,0,579.775,11,Dan,16.10.2018,1:55:42,0,126.314,4,KA 720-HG,,16.10.2018 21:11:24,16.10.2018 21:12:06,0:00:42,"HRVATSKA: LUKO, VENTILATORSKA CESTA",0,42.93,
,,,,,,,,,,,,,,,,,,,,
KA 720-HG,Skupaj vozilo:,3:57:23,0,579.775,11,Dan,16.10.2018,1:55:42,0,126.314,4,KA 720-HG,,16.10.2018 21:38:15,16.10.2018 23:14:52,1:36:37,"HRVATSKA: RUGVICA, DUGOSELSKA ULICA",0,32.253,1
,,,,,,,,,,,,,,,,,,,,
KA 720-HG,Skupaj vozilo:,3:57:23,0,579.775,11,Dan,16.10.2018,1:55:42,0,126.314,4,KA 720-HG,,16.10.2018 21:38:15,16.10.2018 23:14:52,,"Rugvica, Skladia",,,
"e TRAST""",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
KA 720-HG,Skupaj vozilo:,3:57:23,0,579.775,11,Dan,16.10.2018,1:55:42,0,126.314,4,KA 720-HG,,16.10.2018 23:40:33,16.10.2018 23:43:35,0:03:02,"HRVATSKA: LUKO, VENTILATORSKA CESTA",0,32.256,
,,,,,,,,,,,,,,,,,,,,
KA 720-HG,Skupaj vozilo:,3:57:23,0,579.775,11,Dan,16.10.2018,1:55:42,0,126.314,4,KA 720-HG,,16.10.2018 23:59:59,16.10.2018 23:59:59,0:00:00,"HRVATSKA: GALGOVO, ULICA STARA KARLOVAKA",0,14.352,
,,,,,,,,,,,,,,,,,,,,
KA 720-HG,Skupaj vozilo:,3:57:23,0,579.775,11,Dan,17.10.2018,2:01:41,0,453.461,7,KA 720-HG,,17.10.2018 00:00:13,17.10.2018 00:00:13,0:00:00,"HRVATSKA: GALGOVO, ULICA STARA KARLOVAKA",0,0,
,,,,,,,,,,,,,,,,,,,,
KA 720-HG,Skupaj vozilo:,3:57:23,0,579.775,11,Dan,17.10.2018,2:01:41,0,453.461,7,KA 720-HG,,17.10.2018 00:09:54,17.10.2018 00:10:25,0:00:31,"HRVATSKA: JASTREBARSKO, BRAE KAZI",0,9.473,
,,,,,,,,,,,,,,,,,,,,
KA 720-HG,Skupaj vozilo:,3:57:23,0,579.775,11,Dan,17.10.2018,2:01:41,0,453.461,7,KA 720-HG,,17.10.2018 00:32:24,17.10.2018 00:33:16,0:00:52,"HRVATSKA: KARLOVAC, SENJSKA",0,23.406,1
,,,,,,,,,,,,,,,,,,,,
